L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;vType;vWeight;[A]LONG_NAME_HUN;[A]LONG_NAME_ENG;[N]COMPANY;[N]FOREIGN;[S]KOD;[N]STATUSZ;[N]FOREIGN;[N]SAP;[S]SUBS_GROUP;[S]COUNTRY;[N]PROJECT;[S]OLD_NAME;[S]TAX_GROUP;[S]OPERATIONS
;OVIE;;;;;;;;;;;;;;N;1;MVM OVIT Építő Kft.;MVM OVIT Építő Kft.;1;;1G;1;;;;HU;;;;
;OVIR;;;;;;;;;;;;;;N;1;MVM OVIT Rentra Kft.;MVM OVIT Rentra Kft.;1;;;1;;;;HU;;;;
;RAPO;;;;;;;;;;;;;;N;1;Raaba Power Group Kft.;Raaba Power Group Kft.;1;;5B;1;;;ZG;HU;;;;
;RASE;;;;;;;;;;;;;;N;1;Raaba Service Kft.;Raaba Service Kft.;1;;5C;1;;;ZG;HU;;;;
;RATE;;;;;;;;;;;;;;N;1;Raaba Tech Kft.;Raaba Tech Kft.;1;;5D;1;;;ZG;HU;;;;
;SASA;;;;;;;;;;;;;;N;1;MVM ZG Solar Alpha Kft.;MVM ZG Solar Alpha Kft.;1;;8G;1;;;ZG;HU;;;;
;SASB;;;;;;;;;;;;;;N;1;MVM ZG Solar Beta Kft.;MVM ZG Solar Beta Kft.;1;;8H;1;;;ZG;HU;;;;
;SASD;;;;;;;;;;;;;;N;1;MVM ZG Solar Delta Kft.;MVM ZG Solar Delta Kft.;1;;8I;1;;;ZG;HU;;;;
;SASE;;;;;;;;;;;;;;N;1;MVM ZG Solar Epsilon Kft.;MVM ZG Solar Epsilon Kft.;1;;8J;1;;;ZG;HU;;;;
;SASG;;;;;;;;;;;;;;N;1;MVM ZG Solar Gamma Kft.;MVM ZG Solar Gamma Kft.;1;;8K;1;;;ZG;HU;;;;
;SASK;;;;;;;;;;;;;;N;1;MVM ZG Solar Kappa Kft.;MVM ZG Solar Kappa Kft.;1;;8L;1;;;ZG;HU;;;;
;SASZ;;;;;;;;;;;;;;N;1;MVM ZG Solar Zeta Kft.;MVM ZG Solar Zeta Kft.;1;;8M;1;;;ZG;HU;;;;
;ZFIN;;;;;;;;;;;;;;N;1;Finasys Solarpark Kft.;Finasys Solarpark Kft.;1;;;;;;;;;;;
;ZJFS;;;;;;;;;;;;;;N;1;Jupiter Flex SolarPark Kft.;Jupiter Flex SolarPark Kft.;1;;;;;;;;;;;
;ZJSS;;;;;;;;;;;;;;N;1;Jupiter Solution SolarPark Kft.;Jupiter Solution SolarPark Kft.;1;;;;;;;;;;;
;ZNAP;;;;;;;;;;;;;;N;1;Napraforco-Operation Kft.;Napraforco-Operation Kft.;1;;;;;;;;;;;
;ZSOL;;;;;;;;;;;;;;N;1;Solar Engine Kft.;Solar Engine Kft.;1;;;;;;;;;;;
;ZHSE;;;;;;;;;;;;;;N;1;HSE Europa Solar Kft.;HSE Europa Solar Kft.;1;;;;;;;;;;;
;SGEO;;;;;;;;;;;;;;N;1;Status Geo Invest Kft.;Status Geo Invest Kft.;1;;;;;;;;;;;
;SPIK;;;;;;;;;;;;;;N;1;Status Power Invest Kft.;Status Power Invest Kft.;1;;;;;;;;;;;
;PRTN;;;;;;;;;;;;;;N;1;MVM ONEnergy Zrt.;MVM ONEnergy Zrt.;1;;17;1;;1;;HU;;;;
